time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-10-24 17:31:36.615 UTC,218,3161922,1040,15976,0,1,15,4,0.26666668,0,0,0,0,0,0,0,4,3,2,1,4,2,5,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21479036570,627,0,21479033920,0,0,0,0,0,0,30,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330295548,3145728,0,0,0,15,0,0,0,3,0,0,0,3,0,0,0,0,15,0,12288,6,0,0,0,0,4704256,24,0,0,0,0,0,0,5,68,0,0,9561120,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 17:32:30.301 UTC,218,3161946,1040,16000,0,2,15,4,0.26666668,0,0,0,0,0,0,0,4,3,2,2,4,2,5,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21479453867,634,0,21479452429,0,0,0,0,0,0,29,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330349986,3145728,0,0,0,16,0,0,0,3,0,0,0,3,0,0,0,0,16,0,14336,7,0,0,0,0,4704256,24,0,0,0,0,0,0,5,13,0,0,9765064,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 17:33:30.304 UTC,218,5198666,1520,2052480,240,1,118,2,0.016949153,0,0,0,0,0,0,0,7,5,0,1,5,2,9,0,129,18,0,0,0,0,0,0,0,0,0,0,0,0,0,21481490275,646,2060,21481489084,12,23,7,37,0,0,29,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330349986,3145728,0,0,0,23,24,56,24,4,24,0,0,3,24,0,0,0,23,2,32768,16,2013499,12,0,8,2041923,19,22909,13,1,0,0,0,116,173,6,144,10875944,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 17:34:30.306 UTC,218,5282682,1520,2136496,240,0,111,0,0.0,0,0,0,0,0,0,0,7,5,0,0,5,2,9,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21481597249,658,5844,21481595908,12,25,7,37,0,0,29,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330349986,3145728,0,0,0,12,24,46,24,0,24,0,0,3,24,0,0,0,12,2,24576,12,84953,12,0,10,83606,10,22021,12,0,0,0,0,46,36,0,0,19707328,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 17:35:30.352 UTC,218,6049522,1520,2903336,240,0,113,0,0.0,0,0,0,0,0,0,0,7,5,0,0,5,2,9,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21482389185,670,620915,21482388172,12,28,8,38,0,0,28,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330349986,3145728,0,0,0,12,24,44,24,0,24,0,0,3,24,0,0,0,12,2,24576,12,767781,12,0,10,768330,10,24155,12,0,0,0,0,45,33,0,0,17991400,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 17:35:37.128 UTC,218,6568098,1520,3422152,0,0,19,0,0.0,0,0,0,0,0,0,0,7,5,0,0,5,2,9,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21482911042,672,6037,21482909573,2,5,1,6,0,0,28,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477330349986,3145728,0,0,0,2,4,11,4,0,4,0,0,3,4,0,0,0,2,2,4096,2,518977,2,0,2,518887,2,2880,2,0,0,0,0,7,4,0,0,18512160,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 18:47:35.474 UTC,218,3162226,760,16280,0,2,12,5,0.41666666,0,0,0,0,0,0,0,5,3,2,2,5,3,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21482911972,673,0,21482911164,0,0,0,0,0,0,24,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477334854566,3145728,0,0,0,16,0,0,0,3,0,0,0,3,0,0,0,0,16,0,20480,10,0,0,0,0,8894464,24,0,0,0,0,0,0,5,17,0,0,9553736,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 18:48:35.477 UTC,218,3252522,1520,106336,240,1,117,2,0.017094018,0,0,0,0,0,0,0,7,5,0,1,5,3,8,0,129,19,0,0,0,0,0,0,0,0,0,0,0,0,0,21483002138,685,5187,21483000790,12,23,7,37,0,0,24,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477334854566,3145728,0,0,0,24,24,48,24,4,24,0,0,3,24,0,0,0,24,2,43008,21,67424,12,0,7,87589,14,22741,12,0,0,0,0,144,97,0,0,12956232,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 18:49:35.481 UTC,218,3856074,1520,709888,240,0,108,0,0.0,0,0,0,0,0,0,0,7,5,0,0,5,3,8,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21483627296,697,5874,21483625468,12,23,7,37,0,0,24,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477334854566,3145728,0,0,0,12,24,48,24,0,24,0,0,3,24,0,0,0,12,2,22528,11,90188,11,0,10,605197,11,534970,13,0,0,0,0,133,93,2,34,12228720,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 18:50:35.484 UTC,218,6543946,1440,3397832,168,0,173,0,0.0,0,0,0,0,0,0,0,7,5,0,0,5,1,10,0,437,147,0,0,0,0,0,0,0,0,0,0,0,0,0,25772479331,709,617999,25772477442,12,24,13,45,0,0,20,NaN,0,0,0,204,1,1280,0,1,0,4,0,4,299,92,99,0,0,0,98,579,0,0,0,0,0,0,0,0,1477334854566,3145728,0,0,0,146,24,78,24,2,24,0,0,3,25,0,0,0,147,1,51200,22,783326,14,0,11,12550977,142,1953432,12,1,0,0,0,95,201,7,224,28426760,0,0,0,0,0,0,0,871,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
