time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-10-24 23:56:01.947 UTC,109,3156997,600,11160,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353361623,3145728,0,0,0,0,2,6,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,4,14,0,0,7417520,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 23:57:01.950 UTC,109,5671341,1200,2525264,240,0,167,0,0.0,0,0,0,0,0,0,0,6,6,0,0,0,2,9,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524912,13,1618,2523817,12,18,26,70,0,0,99,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353361623,3145728,0,0,0,0,28,74,28,2,28,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,4096,2,2523968,29,1,0,0,0,78,165,6,132,16721144,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 23:58:01.955 UTC,109,6369765,1200,3223688,240,0,156,0,0.0,0,0,0,0,0,0,0,6,6,0,0,0,2,9,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242695,25,6449,3241127,12,30,12,54,0,0,99,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353361623,3145728,0,0,0,0,24,117,24,0,24,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,717783,24,0,0,0,0,55,53,0,0,28129880,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 23:59:01.956 UTC,109,6524157,1200,3378080,240,0,156,0,0.0,0,0,0,0,0,0,0,6,6,0,0,1,2,9,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423272,37,10124,3422225,12,30,12,54,0,0,99,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353361623,3145728,0,0,0,0,24,60,24,0,24,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,180577,24,0,0,0,0,57,72,0,0,29638784,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24 23:59:08.878 UTC,109,6567997,1200,3422160,0,0,26,0,0.0,0,0,0,0,0,0,0,6,6,0,0,1,2,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470126,39,31904,3468784,2,6,1,8,0,0,99,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353361623,3145728,0,0,0,0,4,9,4,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46854,4,0,0,0,0,7,5,0,0,31236960,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:02:15.441 UTC,109,3157573,600,11736,0,1,11,3,0.27272728,0,0,0,0,0,0,0,3,3,2,1,3,1,5,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3470788,40,0,3470231,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353735130,3145728,0,0,0,12,0,0,0,2,0,0,0,3,0,0,0,0,12,0,10240,5,0,0,0,0,3944448,20,0,0,0,0,0,0,5,18,0,0,8706176,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:02:31.258 UTC,109,3158741,800,12904,0,1,14,3,0.21428572,0,0,0,0,0,0,0,3,3,2,1,3,1,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3475051,42,0,3473918,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353750956,3145728,0,0,0,13,0,0,0,2,0,0,0,3,0,0,0,0,13,0,10240,5,0,0,0,0,3946496,21,0,0,0,0,0,0,5,16,0,0,9178504,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:03:31.260 UTC,109,5192165,1200,2046088,240,1,117,2,0.017094018,0,0,0,0,0,0,0,5,5,0,1,3,1,8,0,129,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5504571,54,1824,5503364,12,22,8,38,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353750956,3145728,0,0,0,23,24,56,24,3,24,0,0,3,24,0,0,0,23,1,22528,11,1968895,9,0,8,2049023,23,60625,16,1,0,0,0,118,131,6,115,29004128,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:04:31.261 UTC,109,5280989,1200,2134912,240,0,108,0,0.0,0,0,0,0,0,0,0,5,5,0,0,3,1,8,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5611709,66,1524,5610410,12,22,8,38,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353750956,3145728,0,0,0,12,24,50,24,0,24,0,0,3,24,0,0,0,12,1,24576,12,89666,12,0,9,88031,9,17472,12,0,0,0,0,60,38,0,0,29272568,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:05:31.264 UTC,109,6543277,1200,3397200,240,0,108,0,0.0,0,0,0,0,0,0,0,5,5,0,0,3,1,8,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6893730,78,5864,6890524,12,22,8,38,0,0,64,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353750956,3145728,0,0,0,12,24,71,24,0,24,0,0,3,24,0,0,0,12,1,24576,12,1263161,12,0,11,1262286,11,18860,12,0,0,0,0,61,94,1,25,35427968,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:05:39.126 UTC,109,6561669,1200,3415832,0,0,18,0,0.0,0,0,0,0,0,0,0,5,5,0,0,3,1,8,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6914727,80,15614,6913567,2,4,1,6,0,0,64,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477353750956,3145728,0,0,0,2,4,8,4,0,4,0,0,3,4,0,0,0,2,1,4096,2,18770,2,0,2,18682,2,2227,2,0,0,0,0,8,5,0,0,29012560,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:07:25.881 UTC,109,3157205,600,11368,0,1,11,3,0.27272728,0,0,0,0,0,0,0,3,3,2,1,3,1,5,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6915501,81,0,6914832,0,0,0,0,0,0,49,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477354045560,3145728,0,0,0,12,0,0,0,2,0,0,0,3,0,0,0,0,12,0,12288,6,0,0,0,0,7794688,21,0,0,0,0,0,0,5,16,0,0,8635992,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:08:25.883 UTC,218,6342146,1440,3195960,240,1,119,2,0.016806724,0,0,0,0,0,0,0,5,5,0,1,3,1,8,0,129,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4295589239,93,4404,4295588039,12,22,8,38,0,0,37,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477354045560,3145728,0,0,0,24,24,83,24,5,24,0,0,3,25,0,0,0,24,1,36864,18,2546725,12,0,8,3189043,18,634156,14,1,0,0,0,94,198,8,202,14139392,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25 00:09:25.885 UTC,218,6451962,1440,3305776,240,0,120,0,0.0,0,0,0,0,0,0,0,5,5,0,0,3,1,8,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4295721462,105,7436,4295720219,12,22,8,38,0,0,37,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477354045560,3145728,0,0,0,12,24,42,24,0,24,0,0,3,24,0,0,0,12,1,24576,12,110693,12,0,10,109148,10,21530,12,0,0,0,0,60,38,0,0,15711224,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
