time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-12-04 00:42:39.923 UTC,125,3157213,696,11360,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480812159668,3145728,0,0,0,0,2,2,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,0,0,28878752,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 00:48:15.088 UTC,125,3161597,928,15744,0,0,24,4,0.16666667,0,0,0,0,0,0,0,4,4,4,0,2,1,7,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,2,8693,8693,1,0,4,8,0,0,86,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480812494776,3145728,0,0,0,12,1,1,1,4,1,0,0,3,2,0,0,0,12,0,2048,1,0,0,0,0,145408,29,978,1,0,0,0,0,0,0,0,0,30232968,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:03:58.253 UTC,125,3157901,928,12048,0,0,14,3,0.21428572,0,0,0,0,0,0,0,3,3,2,0,2,1,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9563,2,0,8693,0,0,0,0,0,0,86,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480817037983,3145728,0,0,0,12,0,0,0,2,0,0,0,3,0,0,0,0,12,0,2048,1,0,0,0,0,92160,21,0,0,0,0,0,0,0,0,0,0,29636312,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:05:18.191 UTC,125,3161701,928,15848,0,0,26,4,0.15384616,0,0,0,0,0,0,0,4,4,4,0,2,1,7,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19025,3,18058,18058,1,0,4,8,0,0,48,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480817117906,3145728,0,0,0,14,1,1,1,4,1,0,0,3,2,0,0,0,14,0,2048,1,0,0,0,0,174080,34,1075,1,0,0,0,0,0,0,0,0,30224072,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:06:01.543 UTC,125,3158765,928,12912,0,2,14,3,0.21428572,0,0,0,0,0,0,0,3,3,2,2,3,1,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,91733,83,0,90841,0,0,0,0,0,0,20,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,0,14,0,0,0,2,0,0,0,3,0,0,0,0,14,0,2048,1,0,0,0,0,178176,33,0,0,0,0,0,0,0,0,0,0,30242904,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:07:01.548 UTC,250,3508074,1808,361856,240,1,660782,3,4.540075E-6,0,0,0,0,0,0,0,42,6,0,1,26,1,31,0,661000,4738,0,0,0,0,0,0,0,0,0,0,0,0,0,17187181852,5471,3457,17187180632,5388,7254,4785,16326,0,0,2,NaN,2,1,1,6040,3,46407,0,3,0,52,9,43,13881,5205,6059,4,0,0,6055,15800,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,0,4744,9007,2776,8951,15,9007,0,0,3,8955,0,0,0,4745,2,758784,77,1649555,81,0,2,39010713,6232,45491267,8835,0,0,0,0,4,534,50,1134,311976768,3,0,0,0,0,0,0,702742,979,0,0,11,0,39,0,0,0,0,0,0,0,0,0,0,0,2421,0,0,1198,0,618996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:08:01.556 UTC,250,3673954,1808,527736,240,0,102698,0,0.0,0,0,0,0,0,0,0,40,6,0,0,17,1,22,0,102498,3794,0,0,0,0,0,0,0,0,0,0,0,0,0,55837133242,8506,3352,55837132238,3035,4370,2930,9525,0,0,2,NaN,0,0,0,5096,9,47813,0,9,0,59,8,51,11409,8243,10516,0,0,0,10512,17138,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,0,3793,5067,1406,5051,27,5067,0,0,3,5060,0,0,0,3794,2,2200576,107,3540909,85,0,0,95596544,5158,81389331,4965,0,0,0,0,1,226,63,882,722600256,5,0,0,0,0,0,0,136681,979,0,0,10,0,55,0,0,0,0,0,0,0,0,0,0,0,1256,0,0,776,0,76245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:09:01.562 UTC,250,4189882,1808,1043664,240,0,109035,0,0.0,0,0,0,0,0,0,0,58,6,0,0,11,2,15,0,87004,7915,0,0,0,0,0,0,0,0,0,0,0,0,0,236230172777,15542,7875,236230172083,7036,14862,8278,23768,0,0,6,NaN,0,0,0,14634,42,152709,0,42,0,206,34,172,24487,47776,73907,16,0,0,73881,32171,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,0,7902,11726,3121,11708,126,11726,0,0,3,11750,0,0,0,7915,2,42843136,520,31826857,446,0,0,393530368,10308,389588434,11299,0,0,0,0,0,0,47,841,825746232,5,0,0,0,0,0,0,216094,4733,0,0,6,0,106,0,0,0,0,0,0,0,0,0,0,0,2553,0,0,2137,0,24983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:10:01.567 UTC,250,4218698,1808,1072480,240,0,49554,0,0.0,0,0,0,0,0,0,0,55,6,0,0,5,1,10,0,41586,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,279179264353,16394,218348,279179263567,852,2328,1452,3418,0,0,6,NaN,0,0,0,2881,10,33991,0,10,0,25,13,12,3687,13025,22041,5,0,0,22036,4399,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,0,1038,1479,403,1478,30,1479,0,0,3,1488,0,0,0,1039,2,12329984,114,11219565,103,0,0,89721856,1429,86910414,1385,0,0,0,0,0,0,71,254,464877672,5,0,0,0,0,0,0,70925,653,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,409,0,0,218,0,32745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04 02:11:01.575 UTC,375,4661223,2224,1514880,240,0,190029,0,0.0,0,0,0,0,0,0,0,79,6,0,0,5,2,9,0,107881,8484,0,0,0,0,0,0,0,0,0,0,0,0,0,588412057990,23108,248486,588412056977,6714,54024,13350,29353,0,0,6,NaN,0,0,0,53269,71,319927,0,71,0,511,65,446,28934,106800,194063,173,0,0,193889,36357,0,0,0,0,0,0,0,0,1480817161270,3145728,0,0,20527,8458,11224,3518,11196,215,11224,0,0,3,11268,0,0,0,8484,2,306070528,1780,173496390,1638,0,0,423007232,10085,534319242,9625,0,0,0,7,2,613,82,599,692362568,4,0,0,0,0,0,0,429343,65229,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,2469,0,0,2041,0,35217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
